Featurecla.C.11,Name.C.128,Code.C.4,StartDate.d.1,Latitude.d.1,Longitude.d.1
Airfield,Bolt Head (A),X2BH,1941,50.2238888888889,-3.80166666666667
Airfield,Boones Farm (A),X2BF,0,51.9119444444444,0.59
Airfield,Boreham (A),X1BO,1944,51.7788888888889,0.520555555555556
Airfield,Boscombe Down (A),EGDM,1917,51.1533333333333,-1.75111111111111
Airfield,Boship (A),X9BO,0,50.8911111111111,0.231666666666667
Airfield,Boship (A),X9BP,0,50.8736111111111,0.230277777777778
Airfield,Boston (A),X3BS,0,52.9744444444444,-0.0719444444444444
Airfield,Bottesford (A),X3BV,1941,52.9636111111111,-0.780555555555556
Airfield,Bottisham (A),X3BO,1940,52.2136111111111,0.255555555555556
Airfield,Boughrood (A),X0UG,0,52.0480555555556,-3.27277777777778
Airfield,Boughton (A),X3BT,0,52.5908333333333,0.516388888888889
Airfield,Boughton (A),X3BG,0,52.5841666666667,0.515555555555556
Airfield,Boulmer (A),EGQM,1943,55.4119444444444,-1.59361111111111
Airfield,Bourn (A),EGSN,1941,52.215,-0.0402777777777778
Airfield,Bourne Park (A),X2BP,0,51.2641666666667,-1.46166666666667
Airfield,Bournemouth (A),EGHH,1941,50.78,-1.8425
Airfield,Bournemouth (A),X0WN,1917,50.7613888888889,-1.88555555555556
Airfield,Bournemouth (A),X0TA,1915,50.7419444444444,-1.89583333333333
Airfield,Bovingdon (A),X2BV,1942,51.7266666666667,-0.544166666666667
Airfield,Bowerchalke (A),X9BC,0,50.9858333333333,-1.99111111111111
Airfield,Bowldown (A),X2BO,0,51.6288888888889,-2.24333333333333
Airfield,Bowmore (A),X6BM,1940,55.7588888888889,-6.28805555555556
Airfield,Bowness in Winderemere (B),X0BO,0,54.3572222222222,-2.93111111111111
Airfield,Boxted (A),X2BX,1943,51.9355555555556,0.929722222222222
Airfield,Brackla (A),X6BK,1941,57.5405555555556,-3.91305555555556
Airfield,Bradwell Bay (A),X2BB,1941,51.7372222222222,0.903888888888889
Airfield,Bramcote (A),X3BC,1940,52.4852777777778,-1.39583333333333
Airfield,Bramham Moor (A),X0BM,1916,53.8652777777778,-1.32194444444444
Airfield,Brancroft (C),X0BZ,0,53.4666666666667,-1
Airfield,Branscombe (A),X9BR,0,50.6980555555556,-3.15666666666667
Airfield,Bratton (A),X3BA,1940,52.7294444444444,-2.54138888888889
Airfield,Braunstone (A),X3BN,1935,52.6380555555556,-1.20638888888889
Airfield,Brawdy (A),X7BY,1944,51.8830555555556,-5.12194444444444
Airfield,Bray Court (A),X2BR,1941,51.4925,-0.697777777777778
Airfield,Brayton Park (A),X5BP,1942,54.7738888888889,-3.30111111111111
Airfield,Breidden (A),X7BR,0,52.7019444444444,-3.0925
Airfield,Breighton (A),X4BN,1942,53.8052777777778,-0.906111111111111
Airfield,Brent Tor (A),X2BT,0,50.5925,-4.14527777777778
Airfield,Brenzett (A),X2BZ,1943,51.0163888888889,0.874722222222222
Airfield,Bressay (C),X6BS,0,60.1666666666667,-1.11666666666667
Airfield,Bridgenorth (A),X3BP,0,52.5033333333333,-2.56277777777778
Airfield,Bridleway Gate (A),X3BL,1941,52.83,-2.68666666666667
Airfield,Bridlington (A),X9BN,0,54.1205555555556,-0.236666666666667
Airfield,Bridlington (B),X0ND,1920,54.0891666666667,-0.182222222222222
Airfield,Bridlington (C),X4BS,0,54.15,-0.233333333333333
Airfield,Bridlington (C),X4BG,0,54.1294444444444,-0.248333333333333
Airfield,Brighouse (B),X0TL,0,53.7063888888889,-1.77111111111111
Airfield,Brigmerston Down (B),X0BJ,0,51.2255555555556,-1.70305555555556
Airfield,Brimpton (A),EGLP,0,51.3838888888889,-1.17083333333333
Airfield,Brinklow (C),X2RI,0,52.4,-1.38333333333333
Airfield,Brislington (A),++++,0,51.4302777777778,-2.54083333333333
Airfield,Bristol (A),X1BW,1930,51.415,-2.58138888888889
Airfield,Bristol Lulsgate (A),EGGD,1940,51.3827777777778,-2.71916666666667
Airfield,Brize Norton (A),EGVN,1937,51.75,-1.58361111111111
Airfield,Broadwell (A),X2BW,1943,51.7572222222222,-1.63972222222222
Airfield,Brockton (C),X2RK,0,52.6166666666667,-2.41666666666667
Airfield,Brockworth (A),X2BK,1915,51.8441666666667,-2.17638888888889
Airfield,Brook Farm (B),X9BF,0,52.9188888888889,-1.73972222222222
Airfield,Brookfield Farm (A),X9BK,0,52.3369444444444,-0.214722222222222
Airfield,Brooklands (A),EGLB,1907,51.3494444444444,-0.470277777777778
Airfield,Broomfield (B),X0BF,0,51.3666666666667,1.14166666666667
Airfield,Broomfield (C),X0CD,0,51.7666666666667,0.45
Airfield,Brough (A),EGNB,1916,53.7211111111111,-0.565555555555555
Airfield,Broxbourne (C),X1BX,1930,51.7333333333333,0
Airfield,Bruntingthorpe (A),X3BR,1942,52.4911111111111,-1.13222222222222
Airfield,Brunton (A),X5BR,1942,55.5244444444444,-1.67638888888889
Airfield,Bryngwyn Bach (A),X7BB,0,53.27,-3.35611111111111
Airfield,Buckingham (A),X3TG,0,52.0058333333333,-0.935555555555556
Airfield,Buckminster (C),X0BQ,1916,52.8,-0.666666666666667
Airfield,Bucknall (A),X4BK,0,53.1997222222222,-0.254444444444444
Airfield,Bucknell (C),X0BK,0,53.2,-1.25
Airfield,Bude (A),X0BU,0,50.785,-4.50027777777778
Airfield,Bungay (A),X3BY,1942,52.4294444444444,1.41916666666667
Airfield,Burford (C),X1FD,0,51.8,-1.66666666666667
Airfield,Burgh Castle (A),X0BE,0,52.5822222222222,1.66611111111111
Airfield,Burn (A),X4BU,1942,53.7458333333333,-1.08444444444444
Airfield,Burnfoot (A),X5BF,1940,54.9883333333333,-2.98222222222222
Airfield,Burnham (A),X3BU,0,52.9377777777778,0.772222222222222
Airfield,Burnham on Crouch (A),X0UR,0,51.6255555555556,0.828611111111111
Airfield,Burnham on Crouch (A),X0BX,0,51.6261111111111,0.836944444444444
Airfield,Burrow Head (C),X4BH,0,54.7,-4.41666666666667
Airfield,Burscough (A),X4BC,1943,53.5947222222222,-2.87194444444444
Airfield,Burtonwood (A),X4BW,1940,53.4111111111111,-2.65361111111111
Airfield,Bury St Edmunds (A),X3RH,1942,52.2441666666667,0.762222222222222
Airfield,Bush Barn (A),X2BU,1941,51.6616666666667,-1.48416666666667
Airfield,Bute (A),X6BU,0,55.7569444444444,-5.04777777777778
Airfield,Butley (C),X0BT,0,52.1166666666667,1.45
Airfield,Buttergask (C),X6BG,1941,56.4833333333333,-3.26666666666667
Airfield,Caernarfon (A),EGCK,1941,53.1041666666667,-4.34027777777778
Airfield,Caerwent (A),X0CE,0,51.6161111111111,-2.78888888888889
Airfield,Cairnbeg (C),X6CB,0,56.8666666666667,-2.48333333333333
Airfield,Cairncross (C),X0CC,0,55.8666666666667,-2.18333333333333
Airfield,Caistor (A),X4CS,1941,53.5044444444444,-0.363055555555556
Airfield,Calcot (A),X9CC,0,51.7941666666667,-1.83555555555556
Airfield,Caldale (A),X0KC,1916,58.9780555555556,-3.015
Airfield,Calmsden (B),++++,0,51.7758333333333,-1.93944444444444
Airfield,Calshot (A),X2CA,1913,50.8197222222222,-1.30861111111111
Airfield,Calveley (A),X4CV,1942,53.1130555555556,-2.60638888888889
Airfield,Cambridge (A),EGSC,1929,52.205,0.175
Airfield,Cambridge (C),X0CB,0,52.2,0.2
Airfield,Cammeringham (A),X3CM,1942,53.3405555555556,-0.553333333333333
Airfield,Camp Hill (A),X4CH,1936,53.305,-1.73138888888889
Airfield,Campbeltown (A),EGEC,1941,55.4372222222222,-5.68611111111111
Airfield,Campbeltown (A),X6CA,1916,55.4219444444444,-5.66388888888889
Airfield,Canterbury (A),X2CY,0,51.2916666666667,0.998333333333333
Airfield,Capel (A),X0CL,0,51.1061111111111,1.22777777777778
Airfield,Capeston Farm (A),X7CF,0,51.7452777777778,-5.10055555555556
Airfield,Cardiff (A),EGFF,1942,51.3966666666667,-3.34333333333333
Airfield,Cardiff (A),EGFC,0,51.4675,-3.1375
Airfield,Cardiff (A),X7CD,1931,51.4869444444444,-3.13444444444444
Airfield,Cardiff (A),X7EL,0,51.4752777777778,-3.23888888888889
Airfield,Cardiff (B),X0CW,0,51.4594444444444,-3.28027777777778
Airfield,Cardington (A),X3CD,0,52.1066666666667,-0.416388888888889
Airfield,Carew Cheriton (A),X7CC,1917,51.69,-4.81138888888889
Airfield,Cark (A),X5CK,1941,54.1625,-2.96
Airfield,Carlisle (A),EGNC,1941,54.9375,-2.80888888888889
Airfield,Carlisle (A),X5CL,1933,54.9241666666667,-2.95333333333333
Airfield,Carlisle (B),X0OY,1920,54.8941666666667,-2.9
Airfield,Carlton (C),X0CR,1916,53.7166666666667,-1.03333333333333
Airfield,Carlton Moor (A),X5CM,0,54.4111111111111,-1.20055555555556
Airfield,Carmarthen (B),X0CA,1920,51.8472222222222,-4.32777777777778
Airfield,Carnaby (A),X5CN,1944,54.0613888888889,-0.256666666666667
Airfield,Castle Archdale (A),X8CA,1941,54.4811111111111,-7.73083333333333
Airfield,Castle Bromwich (A),X3CA,1914,52.52,-1.785
Airfield,Castle Bytham (A),X3CI,0,52.7805555555556,-0.527777777777778
Airfield,Castle Camps (A),X3CC,1940,52.0519444444444,0.379444444444444
Airfield,Castle Combe (A),X2CC,1941,51.4894444444444,-2.21166666666667
Airfield,Castle Douglas (A),X0CX,0,54.9588888888889,-3.96527777777778
Airfield,Castle Kennedy (A),X6CK,1941,54.8966666666667,-4.93388888888889
Airfield,Castletown (A),X6CT,1940,58.5844444444444,-3.34805555555556
Airfield,Catfirth (A),X0CF,0,60.2547222222222,-1.17472222222222
Airfield,Catfoss (A),X4CF,1932,53.9211111111111,-0.274444444444444
Airfield,Cathcart (A),++++,0,55.8191666666667,-4.26638888888889
Airfield,Catley Hill (C),X5CY,1916,54.7,-1.45
Airfield,Catterick (A),X5CA,1914,54.3663888888889,-1.61722222222222
Airfield,Catton (A),X9CT,0,52.7277777777778,-1.6675
Airfield,Caunton (A),X4CA,0,53.12,-0.891388888888889
Airfield,Caversham (B),X0VE,0,51.4805555555556,-1
Airfield,Caxton Gibbet (A),X3CG,1940,52.225,-0.0966666666666667
Airfield,Cemaes Bay (A),X7CE,0,53.4155555555556,-4.45111111111111
Airfield,Chadderton (A),++++,1938,53.5366666666667,-2.17333333333333
Airfield,Chailey (A),X2CI,1944,50.9611111111111,-0.0430555555555556
Airfield,Chalgrove (A),EGLJ,1943,51.6761111111111,-1.08083333333333
Airfield,Challock (A),EGKE,0,51.2086111111111,0.827777777777778
Airfield,Chalvey (A),X0CY,0,51.5069444444444,-0.620833333333333
Airfield,Charlton Horethorne (A),X9CN,0,51.0130555555556,-2.49888888888889
Airfield,Charlton Horethorne (A),X1CN,1942,51.0161111111111,-2.50944444444444
